motion_mode,baseline_name,config_name,baseline_category,episodes,success_rate,collision_rate,timeout_rate,near_miss_rate,progress_mean,final_goal_distance_mean,episode_return_mean,episode_length_steps_mean,mean_time,episode_min_distance_mean,mean_min_distance,min_distance_after_threat_mean,replacement_count_mean,active_obstacle_count_mean,mean_action_norm,mean_action_delta,max_action_delta,filter_used,filter_trigger_rate,mean_filter_delta_norm,max_filter_delta_norm,nan_or_crash
accel_decel,attention_full_1500k,attention_full_1500k,reference,1,1.0,0.0,0.0,1.0,0.9806280979644244,0.6677513718605042,42.57995622936103,112.0,22.4,0.9604619145393372,4.616138530629022,1.2758362293243408,44.0,8.0,1.3583444375544786,0.1567031841416767,0.8830458521842957,0,0.0,0.0,0.0,0
accel_decel,cpa_reactive_sweep,cpa_reactive_cpa18,cpa_reactive_sweep,2,1.0,0.0,0.0,0.5,0.989882259540628,0.4963308870792389,32.43367007204176,297.0,59.400000000000006,1.4752713441848755,3.7644276818061764,1.4752713441848755,46.0,5.0,0.9999999840828779,1.027580007742951,1.999850869178772,0,0.0,0.0,0.0,0
accel_decel,cpa_reactive_sweep,cpa_reactive_d5,cpa_reactive_sweep,1,0.0,0.0,1.0,0.0,0.8621047853175657,4.725010871887207,10.54691330164778,500.0,100.0,1.9328263998031616,3.987224631309509,1.9328263998031616,123.0,8.0,0.9999999831914902,0.9987318425149724,1.999998450279236,0,0.0,0.0,0.0,0
accel_decel,straight_line,straight_line,reference,4,0.0,1.0,0.0,0.0,0.24922366115260458,25.526432037353516,-1.6563824486732504,22.0,4.4,0.4194670468568802,5.170013148108316,0.4194670468568802,3.0,5.75,0.9999999789280809,3.8090391376645364e-08,1.192095169244567e-07,0,0.0,0.0,0.0,0
accel_decel,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,safety_filter,1,1.0,0.0,0.0,0.0,0.9830219292040344,0.5852856636047363,42.33868017205965,121.0,24.200000000000003,1.6872680187225342,5.919331364395204,1.6872680187225342,34.0,5.0,1.367662626357118,0.2399786591161406,1.45187246799469,1,0.3636363636363636,0.2406884413366475,1.060261368751526,0
accel_decel,vo_like_filter,vo_like_filter_h45_cpa2_h16,safety_filter,2,1.0,0.0,0.0,1.0,0.9946580291574838,0.5848568826913834,41.44762459821078,203.5,40.7,0.8593558967113495,4.710440379758887,0.8593558967113495,42.0,5.0,1.1928829735969841,0.263642067252306,1.997370958328247,1,0.5732801595214357,0.422069990759801,1.9964006543159487,0
ar1_velocity,attention_full_1500k,attention_full_1500k,reference,2,0.5,0.5,0.0,0.5,0.9677129543227694,1.09867662191391,32.216964896440146,106.0,21.2,0.5503067672252655,5.302094569047929,0.7220312356948853,25.0,5.0,1.4381387245208819,0.12562783663463106,0.9371951222419739,0,0.0,0.0,0.0,0
ar1_velocity,cpa_reactive_sweep,cpa_reactive_cpa18,cpa_reactive_sweep,1,0.0,0.0,1.0,1.0,0.9095724527199818,3.2491378784179688,9.120644923839569,500.0,100.0,1.4571982622146606,3.1913551971912386,1.4594427347183228,143.0,8.0,0.9999999811649324,1.130409653779499,1.999999761581421,0,0.0,0.0,0.0,0
ar1_velocity,cpa_reactive_sweep,cpa_reactive_d3,cpa_reactive_sweep,1,0.0,0.0,1.0,1.0,1.0,8.232861518859863,4.552100798886592,500.0,100.0,1.2962743043899536,3.8160970215797434,1.2962743043899536,133.0,5.0,0.999999985933304,1.137465651182762,1.9999988079071045,0,0.0,0.0,0.0,0
ar1_velocity,cpa_reactive_sweep,cpa_reactive_d5,cpa_reactive_sweep,1,0.0,0.0,1.0,1.0,0.8536110376533632,4.982855796813965,10.596337112324406,500.0,100.0,1.3703985214233398,3.8636145293712616,1.3703985214233398,81.0,5.0,0.9999999799728394,0.9988382210923996,1.9999839067459104,0,0.0,0.0,0.0,0
ar1_velocity,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,apf,3,1.0,0.0,0.0,1.0,0.9862789279384917,0.4958811004956563,42.3696815199831,103.66666666666667,20.733333333333334,1.0778799057006836,3.0379078132938155,1.0778799057006836,36.0,6.0,0.9999999843775725,0.21090869941535909,1.3832690020402272,0,0.0,0.0,0.0,0
ar1_velocity,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,3,1.0,0.0,0.0,1.0,0.9832078393260831,0.590644379456838,42.33528804522029,100.66666666666667,20.133333333333333,1.1738564173380535,3.124117407291323,1.1738564173380535,29.0,5.0,0.9999999830684652,0.20193569867708716,1.3847323954105377,0,0.0,0.0,0.0,0
ar1_velocity,current_cpa_reactive,cpa_reactive_current,"reference,cpa_reactive_sweep",2,0.0,0.0,1.0,1.0,0.9468514712761007,6.36134672164917,7.516223858701344,500.0,100.0,1.0865481793880463,4.07056366288662,1.0865481793880463,125.0,5.0,0.9999999838471414,1.0790015800191575,1.9999985694885256,0,0.0,0.0,0.0,0
ar1_velocity,random,random,reference,1,0.0,0.0,1.0,0.0,0.0,34.29032897949219,-15.694659363757824,500.0,100.0,1.7881311178207395,8.07296035027504,1.7881311178207395,66.0,5.0,0.7617476064115762,1.0271413824959603,2.318657398223877,0,0.0,0.0,0.0,0
ar1_velocity,straight_line,straight_line,reference,2,0.5,0.5,0.0,0.5,0.7668701094109679,7.926429331302643,25.72362025737763,66.0,13.2,0.9313617348670958,3.5588898735919168,0.9313617348670958,16.5,5.0,0.999999971882928,3.832156295398813e-08,1.19212245408562e-07,0,0.0,0.0,0.0,0
ar1_velocity,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,safety_filter,1,1.0,0.0,0.0,1.0,0.987266334706211,0.4483728110790252,39.3205737460551,430.0,86.0,1.058456540107727,3.035483283220336,1.058456540107727,146.0,8.0,0.909214697258417,0.3523635421559379,1.969206929206848,1,0.6790697674418604,0.5296916925803173,2.2360680103302,0
ar1_velocity,vo_like_filter,vo_like_filter_h45_cpa2_h16,safety_filter,1,1.0,0.0,0.0,0.0,0.9822794106839866,0.602501392364502,42.12500959623036,142.0,28.4,1.7326529026031494,4.953315632444032,1.7326529026031494,25.0,5.0,1.200661839733661,0.2491918763159014,1.8021305799484253,1,0.5070422535211268,0.3709386937635046,1.6558279991149902,0
crossing_or_sudden_threat,cpa_reactive_sweep,cpa_reactive_cpa18,cpa_reactive_sweep,2,0.5,0.5,0.0,0.0,0.9918977070224773,1.0812137722969055,26.586403773494453,203.5,40.7,1.2846229672431946,3.7586081991217686,1.2846229672431946,49.0,5.0,0.9999999839936358,0.8650591810759187,1.9993503093719482,0,0.0,0.0,0.0,0
crossing_or_sudden_threat,cpa_reactive_sweep,cpa_reactive_d3,cpa_reactive_sweep,2,0.5,0.0,0.5,1.0,0.9902870095498562,3.147500216960907,15.769273949234329,436.0,87.2,1.4054900407791138,3.684214245643667,1.4054900407791138,108.5,5.0,0.9999999865722913,1.2617135358306681,1.9999846816062927,0,0.0,0.0,0.0,0
crossing_or_sudden_threat,cpa_reactive_sweep,cpa_reactive_d5,cpa_reactive_sweep,1,1.0,0.0,0.0,0.0,0.988789967450582,0.4538224339485168,31.82850331220275,313.0,62.6,2.058288097381592,4.129850227611895,2.058288097381592,46.0,5.0,0.9999999834325748,0.9711482103314506,1.999977827072144,0,0.0,0.0,0.0,0
crossing_or_sudden_threat,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,apf,1,1.0,0.0,0.0,1.0,0.984041798250156,0.5467889904975891,41.46858331375361,129.0,25.8,0.8052891492843628,2.594610385192457,0.8052891492843628,31.0,5.0,0.999999982904094,0.3639588718660409,1.9999098777771,0,0.0,0.0,0.0,0
crossing_or_sudden_threat,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,1,1.0,0.0,0.0,1.0,0.9803278592881404,0.6689040064811707,42.485994536874834,94.0,18.8,0.8599960803985596,3.030033289752108,0.8599960803985596,32.0,8.0,0.999999982879517,0.1812038964410085,1.7473901510238647,0,0.0,0.0,0.0,0
crossing_or_sudden_threat,current_cpa_reactive,cpa_reactive_current,"reference,cpa_reactive_sweep",2,0.0,0.0,1.0,1.0,1.0,7.629495859146118,9.85540044672328,500.0,100.0,1.2574254870414734,3.6792542222738263,1.2574254870414734,137.0,5.0,0.9999999840259552,0.9085938690175073,1.999999463558197,0,0.0,0.0,0.0,0
crossing_or_sudden_threat,random,random,reference,1,0.0,0.0,1.0,0.0,0.06564496086519,32.400962829589844,-14.813464363086966,500.0,100.0,3.3915669918060303,7.941610491275787,3.466219186782837,52.0,5.0,0.7838868666365743,1.0681708783269646,2.312908887863159,0,0.0,0.0,0.0,0
linear,attention_full_1500k,attention_full_1500k,reference,1,1.0,0.0,0.0,1.0,0.9862522998944564,0.4691878855228424,42.767465165463776,107.0,21.4,0.8410778045654297,4.4813641387725545,0.8410778045654297,41.0,5.0,1.4711189648815404,0.1551595156450035,1.3159598112106323,0,0.0,0.0,0.0,0
linear,cpa_reactive_sweep,cpa_reactive_cpa18,cpa_reactive_sweep,1,0.0,0.0,1.0,0.0,0.9343619462512184,2.296466827392578,16.86966971859705,500.0,100.0,1.5273032188415527,3.332747364282608,1.5273032188415527,145.0,5.0,0.9999999825954438,0.8536943974328023,1.9999991655349727,0,0.0,0.0,0.0,0
linear,cpa_reactive_sweep,cpa_reactive_d3,cpa_reactive_sweep,2,0.0,0.0,1.0,0.0,0.9250988650282417,2.802462577819824,8.332696649197091,500.0,100.0,1.699273407459259,3.143236912131309,1.699273407459259,136.0,6.5,0.999999983727932,1.225671523130461,1.999968409538269,0,0.0,0.0,0.0,0
linear,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,1,1.0,0.0,0.0,1.0,0.9878055525979228,0.4146446585655212,43.11845344965643,87.0,17.400000000000002,1.2986133098602295,4.223530381575398,1.2986133098602295,23.0,5.0,0.9999999869828936,0.0346267160416282,0.5199632048606873,0,0.0,0.0,0.0,0
linear,current_cpa_reactive,cpa_reactive_current,"reference,cpa_reactive_sweep",2,0.5,0.0,0.5,0.5,0.9305306774701727,2.3737159967422485,20.366965317664505,420.0,84.0,1.6632348895072937,3.588064098274007,1.6632348895072937,118.0,6.5,0.9999999859894023,1.0222858235223642,1.9997291564941406,0,0.0,0.0,0.0,0
linear,random,random,reference,1,0.0,0.0,1.0,0.0,0.0599352649623147,31.96264266967773,-13.842920738905672,500.0,100.0,3.2809112071990967,5.896745832443237,3.2809112071990967,142.0,5.0,0.7727677466720343,1.0567594455304987,2.2513906955718994,0,0.0,0.0,0.0,0
linear,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,safety_filter,1,1.0,0.0,0.0,1.0,1.0,0.6992495656013489,42.40631300053337,119.0,23.8,1.2437591552734375,4.959665234349355,1.2437591552734375,23.0,5.0,1.3864940865700983,0.1941561230174187,1.189006805419922,1,0.3361344537815126,0.2762538101993689,1.3847770690917969,0
linear,vo_like_filter,vo_like_filter_h45_cpa2_h16,safety_filter,1,1.0,0.0,0.0,0.0,0.9845990798290436,0.5263796448707581,39.60590454431231,348.0,69.60000000000001,1.6267493963241575,3.203986921872216,1.6267493963241575,117.0,5.0,1.0571797042656903,0.3842501557040486,2.175999879837036,1,0.6350574712643678,0.4901106538058355,2.020493030548096,0
sinusoidal_lateral,attention_full_1500k,attention_full_1500k,reference,2,1.0,0.0,0.0,1.0,0.9855480404882402,0.5209532976150513,42.849302637041546,99.0,19.8,1.0408000648021698,5.265273661777681,1.0408000648021698,18.0,5.0,1.4620993837349268,0.1103074028379563,1.1495247781276703,0,0.0,0.0,0.0,0
sinusoidal_lateral,cpa_reactive_sweep,cpa_reactive_d3,cpa_reactive_sweep,1,1.0,0.0,0.0,1.0,0.99393553776887,0.7393133044242859,28.28104950245212,386.0,77.2,1.082905411720276,3.1270123717080742,1.082905411720276,69.0,5.0,0.9999999830142204,1.0576748970550318,1.999988913536072,0,0.0,0.0,0.0,0
sinusoidal_lateral,cpa_reactive_sweep,cpa_reactive_d5,cpa_reactive_sweep,3,0.3333333333333333,0.0,0.6666666666666666,0.0,0.9037890061108743,3.3197457790374756,19.340584854426695,443.3333333333333,88.66666666666667,1.7798322836558025,3.9933203496932976,1.903794566790263,100.66666666666667,5.0,0.9999999833986012,0.9097603866937986,1.999939759572347,0,0.0,0.0,0.0,0
sinusoidal_lateral,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,apf,2,1.0,0.0,0.0,1.0,0.9899755511920968,0.6980203986167908,42.46171961480687,100.5,20.1,1.1140642166137695,3.259553257489568,1.1140642166137695,24.5,5.0,0.9999999888570168,0.17442660950505245,1.3827783465385437,0,0.0,0.0,0.0,0
sinusoidal_lateral,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,1,1.0,0.0,0.0,1.0,0.9875474999239866,0.604801595211029,42.566261743356414,105.0,21.0,1.01780366897583,2.681699084100269,1.01780366897583,28.0,5.0,0.9999999829701016,0.1947404740311487,1.943400502204895,0,0.0,0.0,0.0,0
sinusoidal_lateral,random,random,reference,3,0.0,0.0,1.0,0.0,0.12998374277503932,29.693309148152668,-11.92303472534443,500.0,100.0,3.8327039877573648,7.907149650096893,3.8327039877573648,69.66666666666667,6.0,0.7723520968034864,1.0700492792294354,2.4246272246042886,0,0.0,0.0,0.0,0
sinusoidal_lateral,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,safety_filter,3,1.0,0.0,0.0,0.3333333333333333,0.9838383854250056,0.5552219053109487,42.37760329179819,135.33333333333334,27.066666666666666,1.5177276134490967,4.436441477083426,1.5274065335591633,32.666666666666664,5.0,1.3042541296804906,0.20950982034896345,1.3365322748819988,1,0.2851283406068426,0.1878666332172572,1.279456615447998,0
sinusoidal_lateral,vo_like_filter,vo_like_filter_h45_cpa2_h16,safety_filter,2,1.0,0.0,0.0,0.0,0.9815414361349364,0.6779605746269226,41.84118685716807,179.0,35.800000000000004,1.9940245747566223,4.304790755552087,1.9940245747566223,48.5,6.5,1.054840383366975,0.2472948055843257,1.7262150645256042,1,0.6393732067976164,0.5291185667047394,1.639514446258545,0
